baseline_id,scope,questions,generations,samples_per_question,greedy_accuracy,sample_accuracy,pass_at_k,majority_at_k,agreement_at_k,invalid_output_rate,mean_output_tokens,median_output_tokens,p95_output_tokens,median_latency_seconds,p95_latency_seconds,throughput_generations_per_second,estimated_1000_question_runtime_seconds,hit_max_new_tokens_rate,tie_rate
B0,random,1636,1636,1,0.6246943765281173,0.6246943765281173,0.6246943765281173,0.6246943765281173,0.8526894865525673,0.14731051344743276,448.8251833740831,352.0,1024.0,0.5807642800156145,0.6719902521313473,1.6642335786449114,600.8771922594194,0.08618581907090464,0.0
B0,template,1636,1636,1,0.6363080684596577,0.6363080684596577,0.6363080684596577,0.6363080684596577,0.8600244498777506,0.13997555012224938,443.99755501222495,336.0,1024.0,0.5807642800156145,0.6719902521313473,1.6688356924667895,599.2201656005152,0.08618581907090464,0.0
B0,hard,554,554,1,0.24548736462093862,0.24548736462093862,0.24548736462093862,0.24548736462093862,0.703971119133574,0.296028880866426,649.5649819494585,634.5,1024.0,0.6060114849246135,1.0160800488491322,1.3799434516397466,724.667375907128,0.2111913357400722,0.0
B0,format,256,256,1,0.421875,0.421875,0.421875,0.421875,0.73046875,0.26953125,649.8671875,635.5,1024.0,0.5849472610859436,1.0160800488491322,1.6185406141862702,617.840535625209,0.17578125,0.0
B1,random,1636,1636,1,0.6124694376528117,0.6124694376528117,0.6124694376528117,0.6124694376528117,0.8251833740831296,0.17481662591687042,567.7726161369193,506.5,1024.0,0.6100442309840559,0.6891841778111414,1.5910556629364188,628.5135229992025,0.10207823960880195,0.0
B1,template,1636,1636,1,0.6338630806845966,0.6338630806845966,0.6338630806845966,0.6338630806845966,0.8349633251833741,0.16503667481662593,566.8300733496333,502.0,1024.0,0.6100442309840559,0.6891841778111414,1.5927714777341226,627.836456126525,0.10635696821515893,0.0
B1,hard,554,554,1,0.2743682310469314,0.2743682310469314,0.2743682310469314,0.2743682310469314,0.6931407942238267,0.30685920577617326,723.3321299638989,704.5,1024.0,0.6325338057020491,0.8123126813428481,1.4106087877534557,708.9137744509632,0.23104693140794225,0.0
B1,format,256,256,1,0.42578125,0.42578125,0.42578125,0.42578125,0.71875,0.28125,709.45703125,690.5,1024.0,0.6185163983346654,0.812312681342848,1.565797811178782,638.6520614990312,0.18359375,0.0
B2,random,1636,4908,3,,0.5925020374898126,0.7102689486552567,0.6558679706601467,0.6986552567237164,0.17583537082314588,566.2628361858191,504.0,1024.0,0.6669112534342653,0.7452687910086447,1.4603388651703972,2054.3177145736995,0.09229828850855745,0.1625916870415648
B2,template,1636,4908,3,,0.615118174409128,0.719437652811736,0.676039119804401,0.7212713936430317,0.1660554197229014,562.6118581907091,499.0,1024.0,0.6669112534342653,0.7449604118283268,1.4618091366884793,2052.2515044584225,0.09698451507742462,0.1356968215158924
B2,hard,554,1662,3,,0.2647412755716005,0.36462093862815886,0.30505415162454874,0.4897713598074609,0.2888086642599278,719.4067388688327,709.5,1024.0,0.6883564971346701,0.8687721485952525,1.3072918508106972,2294.820393884958,0.20878459687123946,0.35018050541516244
B2,format,256,768,3,,0.4075520833333333,0.51953125,0.453125,0.5403645833333334,0.2877604166666667,699.0091145833334,682.0,1024.0,0.6747333066249989,0.868149506776189,1.4391201247715941,2084.607079256943,0.1875,0.26171875
