effort,dimension,segment,rows,first_exact_rows,first_exact,pass_at_2_rows,pass_at_2,both_match,one_match,neither_match
low,problem_type,algebra,9,7,0.7777777777777778,7,0.7777777777777778,7,0,2
low,problem_type,arithmetic_word_problem,9,4,0.4444444444444444,5,0.5555555555555556,3,2,4
low,problem_type,combinatorics_probability,7,4,0.5714285714285714,5,0.7142857142857143,4,1,2
low,problem_type,geometry,8,3,0.375,3,0.375,3,0,5
low,problem_type,number_theory,7,2,0.2857142857142857,2,0.2857142857142857,2,0,5
low,hard_type,False,16,10,0.625,10,0.625,10,0,6
low,hard_type,True,24,10,0.4166666666666667,12,0.5,9,3,12
low,length_bucket,129_256,10,5,0.5,5,0.5,5,0,5
low,length_bucket,257_512,11,5,0.45454545454545453,6,0.5454545454545454,5,1,5
low,length_bucket,gt512,9,2,0.2222222222222222,3,0.3333333333333333,1,2,6
low,length_bucket,le128,10,8,0.8,8,0.8,8,0,2
medium,problem_type,algebra,9,7,0.7777777777777778,7,0.7777777777777778,7,0,2
medium,problem_type,arithmetic_word_problem,9,4,0.4444444444444444,4,0.4444444444444444,4,0,5
medium,problem_type,combinatorics_probability,7,5,0.7142857142857143,6,0.8571428571428571,5,1,1
medium,problem_type,geometry,8,4,0.5,4,0.5,4,0,4
medium,problem_type,number_theory,7,2,0.2857142857142857,2,0.2857142857142857,2,0,5
medium,hard_type,False,16,10,0.625,10,0.625,10,0,6
medium,hard_type,True,24,12,0.5,13,0.5416666666666666,12,1,11
medium,length_bucket,129_256,10,5,0.5,5,0.5,5,0,5
medium,length_bucket,257_512,11,6,0.5454545454545454,7,0.6363636363636364,6,1,4
medium,length_bucket,gt512,9,3,0.3333333333333333,3,0.3333333333333333,3,0,6
medium,length_bucket,le128,10,8,0.8,8,0.8,8,0,2
